exch_no,stock_code,last_price,price_type,order_oper_way,min_qty
1,600600,50.39,1,11,100
1,600601,3.78,1,11,100
1,600603,5.41,1,11,100
2,000001,14.45,1,11,100
2,000016,4.55,1,11,100
2,000004,20.14,1,11,100
2,000011,10.36,1,11,100
2,000002,27.21,1,11,100
2,000005,3.42,1,11,100
2,000006,5.49,1,11,100
2,000007,8.07,1,11,100
2,000008,3.68,1,11,100
2,000009,4.86,1,11,100
2,000010,3.37,1,11,100
2,000012,4.66,1,11,100
2,000014,10.39,1,11,100
2,000017,5.35,1,11,100
2,000018,0.95,1,11,100
2,000019,6.68,1,11,100
2,000020,11.93,1,11,100
2,000021,12.81,1,11,100
2,000023,14.24,1,11,100
2,000025,22.57,1,11,100
2,000026,8.03,1,11,100
2,000027,6.09,1,11,100
2,000028,45.84,1,11,100
2,000029,10.97,1,11,100
2,000030,4.76,1,11,100
2,000031,7.02,1,11,100
2,000032,13.79,1,11,100
2,000034,17.73,1,11,100
2,000035,6.09,1,11,100
2,000036,4.40,1,11,100
2,000037,14.24,1,11,100
2,000038,14.39,1,11,100
2,000039,10.17,1,11,100
2,000040,5.55,1,11,100
2,000042,9.73,1,11,100
2,000043,15.10,1,11,100
2,000045,7.94,1,11,100
2,000046,4.89,1,11,100
2,000048,23.26,1,11,100
2,000049,41.05,1,11,100
2,000050,15.30,1,11,100
2,000055,5.18,1,11,100
2,000056,5.46,1,11,100
2,000058,10.12,1,11,100
2,000059,6.08,1,11,100
2,000060,4.35,1,11,100
2,000061,5.51,1,11,100
2,000062,15.44,1,11,100
2,000063,35.29,1,11,100
2,000065,9.47,1,11,100
2,000066,13.30,1,11,100
2,000068,4.78,1,11,100
2,000069,7.16,1,11,100
2,000070,13.50,1,11,100
2,000078,3.59,1,11,100
2,000088,6.11,1,11,100
2,000089,10.55,1,11,100
2,000090,5.50,1,11,100
2,000096,11.39,1,11,100
2,000099,8.25,1,11,100
2,000100,3.69,1,11,100
2,000150,5.82,1,11,100
2,000151,10.69,1,11,100
2,000153,6.53,1,11,100
2,000155,4.25,1,11,100
2,000156,10.49,1,11,100
2,000157,5.86,1,11,100
2,000158,5.96,1,11,100
2,000159,7.85,1,11,100
2,000301,5.46,1,11,100
2,000400,8.99,1,11,100
2,000401,17.09,1,11,100
2,000402,7.91,1,11,100
2,000403,30.63,1,11,100
2,000404,4.12,1,11,100
2,000407,3.72,1,11,100
2,000408,9.46,1,11,100
2,000409,6.05,1,11,100
2,000410,6.47,1,11,100
2,000411,13.48,1,11,100
2,000413,5.42,1,11,100
2,000415,3.87,1,11,100
2,000416,6.09,1,11,100
2,000417,4.70,1,11,100
2,000419,4.49,1,11,100
2,000420,2.44,1,11,100
2,000421,4.59,1,11,100
2,000422,2.75,1,11,100
2,000423,32.24,1,11,100
2,000425,4.69,1,11,100
2,000426,6.02,1,11,100
2,000428,2.76,1,11,100
2,000429,7.60,1,11,100
2,000430,5.60,1,11,100
2,000488,5.05,1,11,100
2,000498,4.99,1,11,100
2,000501,10.38,1,11,100
2,000502,7.24,1,11,100
2,000503,20.29,1,11,100
2,000504,9.06,1,11,100
2,000505,6.08,1,11,100
2,000506,3.44,1,11,100
2,000507,5.81,1,11,100
2,000509,2.71,1,11,100
2,000510,4.33,1,11,100
2,000513,27.80,1,11,100
2,000514,4.47,1,11,100
2,000516,5.02,1,11,100
2,000517,2.85,1,11,100
2,000518,3.49,1,11,100
2,000519,9.90,1,11,100
2,000520,4.32,1,11,100
2,000521,3.53,1,11,100
2,000523,5.59,1,11,100
2,000524,8.08,1,11,100
2,000525,12.19,1,11,100
2,000526,25.70,1,11,100
2,000528,6.58,1,11,100
2,000529,6.70,1,11,100
2,000530,4.43,1,11,100
2,000531,7.14,1,11,100
2,000532,10.30,1,11,100
2,000533,2.78,1,11,100
2,000534,12.07,1,11,100
2,000536,3.21,1,11,100
2,000537,6.81,1,11,100
2,000538,77.44,1,11,100
2,000539,4.03,1,11,100
2,000540,3.76,1,11,100
2,000541,5.32,1,11,100
2,000543,4.78,1,11,100
2,000544,7.75,1,11,100
2,000545,3.39,1,11,100
2,000546,9.52,1,11,100
2,000547,12.20,1,11,100
2,000548,4.39,1,11,100
2,000550,16.94,1,11,100
2,000551,6.94,1,11,100
2,000552,2.64,1,11,100
2,000553,9.87,1,11,100
2,000554,5.59,1,11,100
2,000555,13.01,1,11,100
2,000557,3.62,1,11,100
2,000558,3.91,1,11,100
2,000559,5.55,1,11,100
2,000560,4.73,1,11,100
2,000561,7.71,1,11,100
2,000563,4.50,1,11,100
2,000564,2.43,1,11,100
2,000565,5.57,1,11,100
2,000566,6.89,1,11,100
2,000567,9.27,1,11,100
2,000568,86.79,1,11,100
2,000570,4.93,1,11,100
2,000571,2.43,1,11,100
2,000572,1.79,1,11,100
2,000573,3.08,1,11,100
2,000576,9.22,1,11,100
2,000581,17.37,1,11,100
2,000582,9.38,1,11,100
2,000584,7.46,1,11,100
2,000585,1.95,1,11,100
2,000586,13.34,1,11,100
2,000587,2.35,1,11,100
2,000589,4.85,1,11,100
2,000590,12.21,1,11,100
2,000591,3.35,1,11,100
2,000592,3.15,1,11,100
2,000593,6.54,1,11,100
2,000595,4.31,1,11,100
2,000596,114.93,1,11,100
2,000597,12.52,1,11,100
2,000598,4.74,1,11,100
2,000599,4.82,1,11,100
2,000600,5.87,1,11,100
2,000601,5.95,1,11,100
2,000603,16.20,1,11,100
2,000605,7.59,1,11,100
2,000606,6.42,1,11,100
2,000607,5.11,1,11,100
2,000608,5.75,1,11,100
2,000609,5.21,1,11,100
2,000610,11.49,1,11,100
2,000611,3.38,1,11,100
2,000612,4.85,1,11,100
2,000613,5.53,1,11,100
2,000615,5.24,1,11,100
2,000616,2.74,1,11,100
2,000617,13.26,1,11,100
2,000619,5.72,1,11,100
2,000620,4.38,1,11,100
2,000622,5.26,1,11,100
2,000623,16.55,1,11,100
2,000625,8.26,1,11,100
2,000626,7.89,1,11,100
2,000627,7.37,1,11,100
2,000628,10.73,1,11,100
2,000629,3.13,1,11,100
2,000630,2.33,1,11,100
2,000631,2.94,1,11,100
2,000632,6.13,1,11,100
2,000633,4.65,1,11,100
2,000635,8.31,1,11,100
2,000636,14.45,1,11,100
2,000637,4.85,1,11,100
2,000638,5.49,1,11,100
2,000639,5.49,1,11,100
2,000650,7.53,1,11,100
2,000651,58.93,1,11,100
2,000652,3.81,1,11,100
2,000655,5.56,1,11,100
2,000656,6.92,1,11,100
2,000657,7.62,1,11,100
2,000659,2.85,1,11,100
2,000661,370.01,1,11,100
2,000662,5.39,1,11,100
2,000663,6.12,1,11,100
2,000665,5.83,1,11,100
2,000666,13.23,1,11,100
2,000667,2.89,1,11,100
2,000668,15.89,1,11,100
2,000669,4.32,1,11,100
2,000670,2.24,1,11,100
2,000671,6.14,1,11,100
2,000672,13.67,1,11,100
2,000673,3.23,1,11,100
2,000676,6.73,1,11,100
2,000677,3.25,1,11,100
2,000678,7.15,1,11,100
2,000679,3.98,1,11,100
2,000680,3.82,1,11,100
2,000681,22.37,1,11,100
2,000682,5.34,1,11,100
2,000683,2.48,1,11,100
2,000685,8.34,1,11,100
2,000686,8.86,1,11,100
2,000687,8.22,1,11,100
2,000688,10.19,1,11,100
2,000690,5.84,1,11,100
2,000691,3.99,1,11,100
2,000692,2.96,1,11,100
2,000695,9.05,1,11,100
2,001696,6.30,1,11,100
2,000697,13.98,1,11,100
2,000698,4.15,1,11,100
2,000700,3.55,1,11,100
2,000701,6.10,1,11,100
2,000702,6.79,1,11,100
2,000703,13.20,1,11,100
2,000705,6.68,1,11,100
2,000707,2.74,1,11,100
2,000708,16.66,1,11,100
2,000709,2.66,1,11,100
2,000710,34.14,1,11,100
2,000711,5.25,1,11,100
2,000712,13.37,1,11,100
2,000713,10.21,1,11,100
2,000715,11.27,1,11,100
2,000716,3.58,1,11,100
2,000717,4.08,1,11,100
2,000718,3.88,1,11,100
2,000719,7.38,1,11,100
2,000720,4.73,1,11,100
2,000721,4.29,1,11,100
2,000722,7.19,1,11,100
2,000723,11.84,1,11,100
2,000725,4.03,1,11,100
2,000726,9.45,1,11,100
2,000727,2.35,1,11,100
2,000728,9.19,1,11,100
2,000729,6.19,1,11,100
2,000731,5.62,1,11,100
2,000732,6.54,1,11,100
2,000733,17.93,1,11,100
2,000735,10.58,1,11,100
2,000736,6.85,1,11,100
2,000737,3.00,1,11,100
2,000738,15.13,1,11,100
2,000739,12.05,1,11,100
2,000750,5.29,1,11,100
2,000751,3.30,1,11,100
2,000752,4.00,1,11,100
2,000753,3.14,1,11,100
2,000755,4.37,1,11,100
2,000756,7.26,1,11,100
2,000757,4.70,1,11,100
2,000758,4.81,1,11,100
2,000759,7.36,1,11,100
2,000760,1.46,1,11,100
2,000761,4.01,1,11,100
2,000762,7.52,1,11,100
2,000766,7.89,1,11,100
2,000767,2.65,1,11,100
2,000768,17.47,1,11,100
2,000776,14.71,1,11,100
2,000777,13.57,1,11,100
2,000778,4.08,1,11,100
2,000779,12.31,1,11,100
2,000780,3.22,1,11,100
2,000782,4.03,1,11,100
2,000783,7.51,1,11,100
2,000785,10.34,1,11,100
2,000786,18.86,1,11,100
2,000788,6.83,1,11,100
2,000789,9.97,1,11,100
2,000790,4.57,1,11,100
2,000791,3.97,1,11,100
2,000792,7.37,1,11,100
2,000793,3.30,1,11,100
2,000795,7.16,1,11,100
2,000796,6.94,1,11,100
2,000797,3.57,1,11,100
2,000798,6.08,1,11,100
2,000799,31.64,1,11,100
2,000800,8.89,1,11,100
2,000801,6.30,1,11,100
2,000802,9.99,1,11,100
2,000803,15.30,1,11,100
2,000806,2.28,1,11,100
2,000807,5.20,1,11,100
2,000809,2.53,1,11,100
2,000810,9.52,1,11,100
2,000811,7.61,1,11,100
2,000812,3.63,1,11,100
2,000813,8.50,1,11,100
2,000815,9.28,1,11,100
2,000816,1.61,1,11,100
2,000818,10.08,1,11,100
2,000819,8.94,1,11,100
2,000820,1.84,1,11,100
2,000821,7.82,1,11,100
2,000822,4.98,1,11,100
2,000823,12.06,1,11,100
2,000825,4.11,1,11,100
2,000826,10.13,1,11,100
2,000828,8.59,1,11,100
2,000829,5.87,1,11,100
2,000830,10.74,1,11,100
2,000831,14.40,1,11,100
2,000833,5.80,1,11,100
2,000835,4.27,1,11,100
2,000836,4.03,1,11,100
2,000837,4.47,1,11,100
2,000838,3.34,1,11,100
2,000839,4.04,1,11,100
2,000848,7.90,1,11,100
2,000850,4.26,1,11,100
2,000851,5.76,1,11,100
2,000852,6.96,1,11,100
2,000856,11.41,1,11,100
2,000858,130.92,1,11,100
2,000859,5.05,1,11,100
2,000860,52.52,1,11,100
2,000861,2.81,1,11,100
2,000862,6.32,1,11,100
2,000863,5.35,1,11,100
2,000868,3.25,1,11,100
2,000869,29.81,1,11,100
2,000875,3.02,1,11,100
2,000876,18.45,1,11,100
2,000877,11.22,1,11,100
2,000878,10.98,1,11,100
2,000880,8.10,1,11,100
2,000881,7.72,1,11,100
2,000882,2.33,1,11,100
2,000883,4.16,1,11,100
2,000885,10.75,1,11,100
2,000886,3.68,1,11,100
2,000887,9.75,1,11,100
2,000888,6.34,1,11,100
2,000889,10.12,1,11,100
2,000890,6.40,1,11,100
2,000892,4.89,1,11,100
2,000893,7.31,1,11,100
2,000895,24.96,1,11,100
2,001896,3.80,1,11,100
2,000897,2.19,1,11,100
2,000898,3.33,1,11,100
2,000899,5.03,1,11,100
2,000900,4.68,1,11,100
2,000901,12.96,1,11,100
2,000902,10.90,1,11,100
2,000903,2.68,1,11,100
2,000905,7.53,1,11,100
2,000906,6.36,1,11,100
2,000908,4.62,1,11,100
2,000909,7.93,1,11,100
2,000910,11.78,1,11,100
2,000911,6.13,1,11,100
2,000912,5.49,1,11,100
2,000913,10.10,1,11,100
2,000915,23.92,1,11,100
2,000917,6.68,1,11,100
2,000918,6.46,1,11,100
2,000919,7.69,1,11,100
2,000920,7.04,1,11,100
2,000921,11.76,1,11,100
2,000922,8.64,1,11,100
2,000923,15.70,1,11,100
2,000925,7.06,1,11,100
2,000926,6.74,1,11,100
2,000927,3.83,1,11,100
2,000928,5.64,1,11,100
2,000929,7.62,1,11,100
2,000930,7.22,1,11,100
2,000931,8.54,1,11,100
2,000932,4.45,1,11,100
2,000933,4.78,1,11,100
2,000935,14.93,1,11,100
2,000936,7.54,1,11,100
2,000937,3.69,1,11,100
2,000938,34.81,1,11,100
2,000948,12.44,1,11,100
2,000949,3.78,1,11,100
2,000950,6.84,1,11,100
2,000951,15.59,1,11,100
2,000952,9.67,1,11,100
2,000953,3.89,1,11,100
2,000955,4.28,1,11,100
2,000957,7.15,1,11,100
2,000958,6.48,1,11,100
2,000959,3.52,1,11,100
2,000960,11.01,1,11,100
2,000961,8.16,1,11,100
2,000962,7.61,1,11,100
2,000963,28.50,1,11,100
2,000965,3.46,1,11,100
2,000966,5.40,1,11,100
2,000967,6.91,1,11,100
2,000968,11.43,1,11,100
2,000969,7.61,1,11,100
2,000970,10.44,1,11,100
2,000971,2.19,1,11,100
2,000972,2.71,1,11,100
2,000973,4.16,1,11,100
2,000975,15.90,1,11,100
2,000976,5.52,1,11,100
2,000977,26.79,1,11,100
2,000978,5.59,1,11,100
2,000980,3.87,1,11,100
2,000981,1.49,1,11,100
2,000982,1.63,1,11,100
2,000983,6.21,1,11,100
2,000985,15.09,1,11,100
2,000987,9.70,1,11,100
2,000988,21.73,1,11,100
2,000989,8.92,1,11,100
2,000990,17.16,1,11,100
2,000993,8.13,1,11,100
2,000996,13.60,1,11,100
2,000997,18.83,1,11,100
2,000998,13.09,1,11,100
2,000999,30.96,1,11,100
2,002001,22.09,1,11,100
2,002181,4.70,1,11,100
1,600000,11.93,1,11,100
1,600004,20.07,1,11,100
1,600006,5.02,1,11,100
1,600007,16.69,1,11,100
1,600008,3.53,1,11,100
1,600009,82.80,1,11,100
1,600010,1.53,1,11,100
1,600011,6.34,1,11,100
1,600012,5.74,1,11,100
1,600015,7.54,1,11,100
1,600016,6.13,1,11,100
1,600019,6.30,1,11,100
1,600020,4.57,1,11,100
1,600021,8.16,1,11,100
1,600026,7.01,1,11,100
1,600028,5.35,1,11,100
1,600029,6.86,1,11,100
1,600030,24.28,1,11,100
1,600031,14.58,1,11,100
1,600033,3.15,1,11,100
1,600035,3.49,1,11,100
1,600036,35.00,1,11,100
1,600037,10.12,1,11,100
1,600038,48.61,1,11,100
1,600039,3.44,1,11,100
1,600050,6.38,1,11,100
1,600051,6.40,1,11,100
1,600052,5.78,1,11,100
1,600053,23.14,1,11,100
1,600054,9.59,1,11,100
1,600055,10.52,1,11,100
1,600056,13.64,1,11,100
1,600057,4.46,1,11,100
1,600058,8.24,1,11,100
1,600059,9.01,1,11,100
1,600060,8.80,1,11,100
1,600061,13.61,1,11,100
1,600062,13.57,1,11,100
1,600063,3.39,1,11,100
1,600064,9.77,1,11,100
1,600066,14.96,1,11,100
1,600067,4.36,1,11,100
