pass_no,out_acco,exch_no,stock_code,order_id,report_date,report_time,report_no,wtdraw_qty
1,4646pd004,1,603909,285490,20191009,100000,G285490,200.00
1,4949pd040,1,603655,285491,20191009,100000,G285491,200.00
1,4545pd079,1,600702,285492,20191009,100000,G285492,200.00
1,4848pd025,1,603517,285493,20191009,100000,G285493,200.00
1,4949pd029,1,600933,285494,20191009,100000,G285494,200.00
1,4141pd2,2,000011,285495,20191009,100000,G285495,200.00
1,4747pd091,1,603658,285496,20191009,100000,G285496,200.00
1,4040pd023,2,300095,285497,20191009,100000,G285497,200.00
1,4141pd013,2,000055,285498,20191009,100000,G285498,200.00
1,4242pd033,2,000021,285499,20191009,100000,G285499,200.00
1,4141pd030,2,000514,285500,20191009,100000,G285500,200.00
1,4343pd094,1,600203,285501,20191009,100000,G285501,200.00
1,4848pd046,2,002849,285502,20191009,100000,G285502,200.00
1,4646pd005,1,601798,285503,20191009,100000,G285503,200.00
1,4848pd004,2,300450,285504,20191009,100000,G285504,200.00
1,4141pd030,2,000514,285505,20191009,100000,G285505,200.00
1,4747pd086,1,603678,285506,20191009,100000,G285506,200.00
1,4545pd007,2,002210,285507,20191009,100000,G285507,200.00
1,4949pd083,2,300762,285508,20191009,100000,G285508,200.00
1,4646pd036,2,300295,285509,20191009,100000,G285509,200.00
1,4242pd050,1,600121,285510,20191009,100000,G285510,200.00
1,4444pd024,1,600881,285511,20191009,100000,G285511,200.00
1,4747pd042,1,601968,285512,20191009,100000,G285512,200.00
1,4949pd040,2,000777,285513,20191009,100000,G285513,200.00
1,4242pd4,2,000898,285514,20191009,100000,G285514,200.00
1,4343pd079,1,600702,285515,20191009,100000,G285515,200.00
1,4242pd027,1,600009,285516,20191009,100000,G285516,200.00
1,4545pd070,2,300037,285517,20191009,100000,G285517,200.00
1,4141pd071,2,000712,285518,20191009,100000,G285518,200.00
1,4747pd040,2,000011,285519,20191009,100000,G285519,200.00
1,4646pd026,1,601669,285520,20191009,100000,G285520,200.00
1,4747pd028,1,600072,285521,20191009,100000,G285521,200.00
1,4040pd064,1,600532,285522,20191009,100000,G285522,200.00
1,4141pd071,2,000712,285523,20191009,100000,G285523,200.00
1,4646pd005,1,601798,285524,20191009,100000,G285524,200.00
1,4444pd086,2,300207,285525,20191009,100000,G285525,200.00
1,4141pd078,2,000751,285526,20191009,100000,G285526,200.00
1,4141pd082,2,300694,285527,20191009,100000,G285527,200.00
1,4848pd025,1,600054,285528,20191009,100000,G285528,200.00
1,4747pd082,1,600012,285529,20191009,100000,G285529,200.00
1,4747pd042,2,300295,285530,20191009,100000,G285530,200.00
1,4444pd098,2,002182,285531,20191009,100000,G285531,200.00
1,4545pd061,2,002339,285532,20191009,100000,G285532,200.00
1,4040pd023,1,603658,285533,20191009,100000,G285533,200.00
1,4747pd009,1,603818,285534,20191009,100000,G285534,200.00
1,4444pd013,1,600836,285535,20191009,100000,G285535,200.00
1,4343pd094,1,600757,285536,20191009,100000,G285536,200.00
1,4242pd026,1,600007,285537,20191009,100000,G285537,200.00
1,4343pd100,1,603505,285538,20191009,100000,G285538,200.00
1,4242pd069,1,600203,285539,20191009,100000,G285539,200.00
1,4646pd004,2,300177,285540,20191009,100000,G285540,200.00
1,4141pd045,2,000584,285541,20191009,100000,G285541,200.00
1,4545pd079,2,300046,285542,20191009,100000,G285542,200.00
1,4242pd039,1,600078,285543,20191009,100000,G285543,200.00
1,4545pd014,2,300117,285544,20191009,100000,G285544,200.00
1,4747pd033,1,601339,285545,20191009,100000,G285545,200.00
1,4040pd065,2,000570,285546,20191009,100000,G285546,200.00
1,4444pd007,1,600810,285547,20191009,100000,G285547,200.00
1,4646pd069,2,300335,285548,20191009,100000,G285548,200.00
1,4646pd079,2,002815,285549,20191009,100000,G285549,200.00
1,4141pd065,2,000682,285550,20191009,100000,G285550,200.00
1,4646pd027,2,002625,285551,20191009,100000,G285551,200.00
1,4242pd039,1,600078,285552,20191009,100000,G285552,200.00
1,4848pd014,1,603505,285553,20191009,100000,G285553,200.00
1,4646pd010,2,002601,285554,20191009,100000,G285554,200.00
1,4545pd061,2,002339,285555,20191009,100000,G285555,200.00
1,4444pd014,2,300429,285556,20191009,100000,G285556,200.00
1,4444pd085,1,601168,285557,20191009,100000,G285557,200.00
1,4848pd045,2,002226,285558,20191009,100000,G285558,200.00
1,4242pd051,1,600123,285559,20191009,100000,G285559,200.00
1,4747pd038,2,300479,285560,20191009,100000,G285560,200.00
1,4949pd038,2,300735,285561,20191009,100000,G285561,200.00
1,4040pd046,2,002498,285562,20191009,100000,G285562,200.00
1,4444pd007,2,300382,285563,20191009,100000,G285563,200.00
1,4141pd032,2,000521,285564,20191009,100000,G285564,200.00
1,4141pd095,2,300029,285565,20191009,100000,G285565,200.00
1,4545pd073,2,002367,285566,20191009,100000,G285566,200.00
1,4242pd060,1,600165,285567,20191009,100000,G285567,200.00
1,4141pd096,2,000852,285568,20191009,100000,G285568,200.00
1,4848pd055,2,002878,285569,20191009,100000,G285569,200.00
1,4848pd014,1,603980,285570,20191009,100000,G285570,200.00
1,4040pd042,1,600121,285571,20191009,100000,G285571,200.00
1,4848pd046,1,603656,285572,20191009,100000,G285572,200.00
1,4444pd024,2,002849,285573,20191009,100000,G285573,200.00
1,4949pd052,1,603259,285574,20191009,100000,G285574,200.00
1,4646pd091,1,603023,285575,20191009,100000,G285575,200.00
1,4545pd026,1,600121,285576,20191009,100000,G285576,200.00
1,4545pd083,2,002385,285577,20191009,100000,G285577,200.00
1,4444pd037,2,002013,285578,20191009,100000,G285578,200.00
1,4343pd021,1,600439,285579,20191009,100000,G285579,200.00
1,4949pd019,1,603466,285580,20191009,100000,G285580,200.00
1,4242pd027,1,600009,285581,20191009,100000,G285581,200.00
1,4949pd063,1,600279,285582,20191009,100000,G285582,200.00
1,4949pd051,1,603596,285583,20191009,100000,G285583,200.00
1,4545pd018,2,002240,285584,20191009,100000,G285584,200.00
1,4747pd042,1,601968,285585,20191009,100000,G285585,200.00
