exch_no,stock_code,last_price,price_type,order_oper_way,min_qty
3,00001,71.55,9,71,500
3,00002,81.05,9,71,500
3,00003,15.70,9,71,1000
3,00004,17.28,9,71,1000
3,00005,60.60,9,71,400
3,00006,53.40,9,71,500
3,00008,4.40,9,71,1000
3,00010,20.35,9,71,1000
3,00011,177.40,9,71,100
3,00012,38.40,9,71,1000
3,00014,31.50,9,71,1000
3,00016,115.40,9,71,500
3,00017,10.16,9,71,1000
3,00019,77.30,9,71,500
3,00020,46.25,9,71,1000
3,00023,20.40,9,71,200
3,00027,52.65,9,71,1000
3,00038,1.81,9,71,2000
3,00041,27.70,9,71,1000
3,00043,0.70,9,71,2000
3,00045,8.05,9,71,500
3,00066,46.70,9,71,500
3,00069,8.26,9,71,2000
3,00083,11.84,9,71,2000
3,00087,12.16,9,71,2500
3,00101,18.16,9,71,1000
3,00107,2.34,9,71,2000
3,00119,2.82,9,71,1000
3,00123,1.79,9,71,2000
3,00127,5.78,9,71,500
3,00135,6.92,9,71,2000
3,00136,0.13,9,71,4000
3,00142,3.13,9,71,2000
3,00144,12.62,9,71,2000
3,00148,21.45,9,71,500
3,00151,6.44,9,71,1000
3,00152,14.78,9,71,500
3,00165,9.73,9,71,2000
3,00168,49.15,9,71,2000
3,00173,4.22,9,71,1000
3,00175,13.60,9,71,1000
3,00177,10.62,9,71,2000
3,00178,1.76,9,71,2000
3,00179,14.24,9,71,500
3,00187,1.42,9,71,2000
3,00200,19.76,9,71,1000
3,00215,1.42,9,71,2000
3,00220,8.55,9,71,1000
3,00241,7.09,9,71,2000
3,00242,3.03,9,71,2000
3,00257,6.15,9,71,1000
3,00267,10.08,9,71,1000
3,00268,8.19,9,71,1000
3,00270,16.36,9,71,2000
3,00272,1.64,9,71,500
3,00285,11.84,9,71,500
3,00288,7.49,9,71,500
3,00291,42.75,9,71,2000
3,00293,10.42,9,71,1000
3,00303,71.20,9,71,100
3,00308,1.35,9,71,2000
3,00315,7.06,9,71,500
3,00316,35.80,9,71,500
3,00317,6.79,9,71,2000
3,00322,11.22,9,71,2000
3,00323,2.97,9,71,2000
3,00330,1.49,9,71,100
3,00336,2.94,9,71,1000
3,00338,2.48,9,71,2000
3,00341,24.10,9,71,2000
3,00345,37.65,9,71,2000
3,00358,9.65,9,71,1000
3,00363,16.04,9,71,1000
3,00371,4.36,9,71,2000
3,00384,30.00,9,71,200
3,00386,5.03,9,71,2000
3,00388,235.00,9,71,100
3,00390,5.25,9,71,1000
