exch_no,stock_code,order_price,price_type,order_oper_way
1,600600,49.46,1,11
1,600601,3.66,1,11
1,600603,5.25,1,11
2,000001,14.56,1,11
2,000016,4.53,1,11
2,000004,20.05,1,11
2,000011,10.51,1,11
2,000002,26.91,1,11
2,000005,3.48,1,11
2,000006,5.50,1,11
2,000007,7.95,1,11
2,000008,3.69,1,11
2,000009,4.86,1,11
2,000010,3.42,1,11
2,000012,4.31,1,11
2,000014,10.58,1,11
2,000017,5.31,1,11
2,000018,0.96,1,11
2,000019,6.77,1,11
2,000020,11.96,1,11
2,000021,13.10,1,11
2,000022,16.46,1,11
2,000023,14.37,1,11
2,000025,22.15,1,11
2,000026,8.13,1,11
2,000027,6.10,1,11
2,000028,45.75,1,11
2,000029,10.97,1,11
2,000030,4.69,1,11
2,000031,6.85,1,11
2,000032,13.47,1,11
2,000034,18.34,1,11
2,000035,6.09,1,11
2,000036,4.46,1,11
2,000037,14.24,1,11
2,000038,14.28,1,11
2,000039,10.14,1,11
2,000040,5.48,1,11
2,000042,9.64,1,11
2,000043,15.12,1,11
2,000045,8.01,1,11
2,000046,4.80,1,11
2,000048,24.15,1,11
2,000049,37.73,1,11
2,000050,15.32,1,11
2,000055,5.11,1,11
2,000056,5.36,1,11
2,000058,10.18,1,11
2,000059,5.97,1,11
2,000060,4.36,1,11
2,000061,5.51,1,11
2,000062,14.58,1,11
2,000063,35.46,1,11
2,000065,9.51,1,11
2,000066,12.55,1,11
2,000068,4.67,1,11
2,000069,7.13,1,11
2,000070,13.32,1,11
2,000078,3.58,1,11
2,000088,6.16,1,11
2,000089,10.35,1,11
2,000090,5.47,1,11
2,000096,10.39,1,11
2,000099,7.93,1,11
2,000100,3.76,1,11
2,000150,5.82,1,11
2,000151,10.59,1,11
2,000153,6.49,1,11
2,000155,4.24,1,11
2,000156,10.19,1,11
2,000157,5.97,1,11
2,000158,5.85,1,11
2,000159,7.56,1,11
2,000301,5.42,1,11
2,000400,8.89,1,11
2,000401,16.97,1,11
2,000402,7.81,1,11
2,000403,30.63,1,11
2,000404,4.10,1,11
2,000407,3.68,1,11
2,000408,9.66,1,11
2,000409,5.89,1,11
2,000410,6.08,1,11
2,000411,13.79,1,11
2,000413,5.14,1,11
2,000415,3.90,1,11
2,000416,6.14,1,11
2,000417,4.67,1,11
2,000418,57.39,1,11
2,000419,4.43,1,11
2,000420,2.44,1,11
2,000421,4.54,1,11
2,000422,2.73,1,11
2,000423,32.54,1,11
2,000425,4.68,1,11
2,000426,6.15,1,11
2,000428,2.75,1,11
2,000429,7.60,1,11
2,000430,5.50,1,11
2,000488,5.11,1,11
2,000498,4.91,1,11
2,000501,10.39,1,11
2,000502,7.10,1,11
2,000503,18.98,1,11
2,000504,9.38,1,11
2,000505,6.06,1,11
2,000506,3.43,1,11
2,000507,5.77,1,11
2,000509,2.72,1,11
2,000510,4.30,1,11
2,000511,0.70,1,11
2,000513,28.30,1,11
2,000514,4.30,1,11
2,000516,5.01,1,11
2,000517,2.82,1,11
2,000518,3.45,1,11
2,000519,9.60,1,11
2,000520,4.25,1,11
2,000521,3.50,1,11
2,000523,5.59,1,11
2,000524,7.83,1,11
2,000525,11.85,1,11
2,000526,26.13,1,11
2,000528,6.57,1,11
2,000529,6.68,1,11
2,000530,4.44,1,11
2,000531,7.29,1,11
2,000532,10.28,1,11
2,000533,2.76,1,11
2,000534,10.19,1,11
2,000536,3.22,1,11
2,000537,6.75,1,11
2,000538,76.51,1,11
2,000539,3.99,1,11
2,000540,3.71,1,11
2,000541,5.32,1,11
2,000543,4.85,1,11
2,000544,7.10,1,11
2,000545,3.37,1,11
2,000546,9.55,1,11
2,000547,12.25,1,11
2,000548,4.38,1,11
2,000550,16.70,1,11
2,000551,6.83,1,11
2,000552,2.62,1,11
2,000553,9.73,1,11
2,000554,5.35,1,11
2,000555,12.48,1,11
2,000557,3.58,1,11
2,000558,3.79,1,11
2,000559,5.57,1,11
2,000560,4.68,1,11
2,000561,7.71,1,11
2,000563,4.55,1,11
2,000564,2.44,1,11
2,000565,5.41,1,11
2,000566,6.96,1,11
2,000567,9.48,1,11
2,000568,87.51,1,11
2,000570,4.96,1,11
2,000571,2.38,1,11
2,000572,1.78,1,11
2,000573,3.08,1,11
2,000576,9.12,1,11
2,000581,17.38,1,11
2,000582,9.41,1,11
2,000584,7.89,1,11
2,000585,1.96,1,11
2,000586,12.85,1,11
2,000587,2.33,1,11
2,000589,4.89,1,11
2,000590,12.11,1,11
2,000591,3.33,1,11
2,000592,3.05,1,11
2,000593,6.47,1,11
2,000595,4.29,1,11
2,000596,113.78,1,11
2,000597,12.37,1,11
2,000598,4.75,1,11
2,000599,4.89,1,11
2,000600,5.89,1,11
2,000601,5.76,1,11
2,000603,16.01,1,11
2,000605,7.66,1,11
2,000606,6.20,1,11
2,000607,4.88,1,11
2,000608,5.72,1,11
2,000609,5.37,1,11
2,000610,11.17,1,11
2,000611,3.39,1,11
2,000612,4.87,1,11
2,000613,5.30,1,11
2,000615,5.31,1,11
2,000616,2.77,1,11
2,000617,13.06,1,11
2,000619,5.71,1,11
2,000620,4.37,1,11
2,000622,5.51,1,11
2,000623,16.64,1,11
2,000625,8.55,1,11
2,000626,8.22,1,11
2,000627,7.34,1,11
2,000628,10.15,1,11
2,000629,3.12,1,11
2,000630,2.30,1,11
2,000631,2.90,1,11
2,000632,6.17,1,11
2,000633,4.71,1,11
2,000635,8.21,1,11
2,000636,14.71,1,11
2,000637,4.77,1,11
2,000638,5.71,1,11
2,000639,5.50,1,11
2,000650,7.52,1,11
2,000651,58.70,1,11
2,000652,3.80,1,11
2,000655,5.50,1,11
2,000656,6.73,1,11
2,000657,7.60,1,11
2,000659,2.85,1,11
2,000661,357.30,1,11
2,000662,5.17,1,11
2,000663,6.12,1,11
2,000665,5.88,1,11
2,000666,13.29,1,11
2,000667,2.87,1,11
2,000668,15.59,1,11
2,000669,4.36,1,11
2,000670,2.15,1,11
2,000671,6.02,1,11
2,000672,13.17,1,11
2,000673,3.21,1,11
2,000676,6.61,1,11
2,000677,3.49,1,11
2,000678,7.30,1,11
2,000679,3.93,1,11
2,000680,3.75,1,11
2,000681,22.36,1,11
2,000682,5.50,1,11
2,000683,2.46,1,11
2,000685,8.38,1,11
2,000686,8.92,1,11
2,000687,8.10,1,11
2,000688,10.24,1,11
2,000690,5.89,1,11
2,000691,3.97,1,11
2,000692,2.93,1,11
2,000693,0.41,1,11
2,000695,8.50,1,11
2,001696,6.21,1,11
2,000697,13.88,1,11
2,000698,4.13,1,11
2,000700,3.56,1,11
2,000701,6.06,1,11
2,000702,6.94,1,11
2,000703,13.34,1,11
2,000705,6.70,1,11
2,000707,2.70,1,11
2,000708,16.44,1,11
2,000709,2.64,1,11
2,000710,34.24,1,11
2,000711,5.18,1,11
2,000712,13.45,1,11
2,000713,10.42,1,11
2,000715,11.17,1,11
2,000716,3.64,1,11
2,000717,4.03,1,11
2,000718,3.89,1,11
2,000719,7.40,1,11
2,000720,4.70,1,11
2,000721,4.26,1,11
2,000722,7.35,1,11
2,000723,12.09,1,11
2,000725,4.05,1,11
2,000726,9.34,1,11
2,000727,2.36,1,11
2,000728,9.16,1,11
2,000729,6.12,1,11
2,000731,5.50,1,11
2,000732,6.43,1,11
2,000733,17.96,1,11
2,000735,10.04,1,11
2,000736,6.76,1,11
2,000737,3.02,1,11
2,000738,15.21,1,11
2,000739,12.34,1,11
2,000750,5.32,1,11
2,000751,3.29,1,11
2,000752,3.99,1,11
2,000753,3.10,1,11
2,000755,4.30,1,11
2,000756,7.32,1,11
2,000757,4.69,1,11
2,000758,4.82,1,11
2,000759,7.30,1,11
2,000760,1.46,1,11
2,000761,4.00,1,11
2,000762,7.48,1,11
2,000766,7.95,1,11
2,000767,2.64,1,11
2,000768,17.56,1,11
2,000776,14.69,1,11
2,000777,13.82,1,11
2,000778,4.09,1,11
2,000779,12.20,1,11
2,000780,3.23,1,11
2,000782,4.00,1,11
2,000783,7.47,1,11
2,000785,10.24,1,11
2,000786,18.73,1,11
2,000788,6.73,1,11
2,000789,9.88,1,11
2,000790,4.54,1,11
2,000791,3.88,1,11
2,000792,7.27,1,11
2,000793,3.29,1,11
2,000795,7.32,1,11
2,000796,6.97,1,11
2,000797,3.49,1,11
2,000798,6.11,1,11
2,000799,31.33,1,11
2,000800,8.88,1,11
2,000801,6.09,1,11
2,000802,9.63,1,11
2,000803,15.16,1,11
2,000806,2.25,1,11
2,000807,5.27,1,11
2,000809,2.41,1,11
2,000810,10.14,1,11
2,000811,7.70,1,11
2,000812,3.65,1,11
2,000813,8.26,1,11
2,000815,8.94,1,11
2,000816,1.59,1,11
2,000818,10.21,1,11
2,000819,8.79,1,11
2,000820,1.84,1,11
2,000821,7.85,1,11
2,000822,4.94,1,11
2,000823,11.84,1,11
2,000825,4.09,1,11
2,000826,9.97,1,11
2,000828,8.75,1,11
2,000829,5.96,1,11
2,000830,10.88,1,11
2,000831,14.91,1,11
2,000833,5.70,1,11
2,000835,4.26,1,11
2,000836,3.97,1,11
2,000837,4.41,1,11
2,000838,3.30,1,11
2,000839,4.02,1,11
2,000848,7.80,1,11
2,000850,4.26,1,11
2,000851,5.66,1,11
2,000852,6.81,1,11
2,000856,11.54,1,11
2,000858,129.26,1,11
2,000859,5.14,1,11
2,000860,49.20,1,11
2,000861,2.81,1,11
2,000862,6.37,1,11
2,000863,4.89,1,11
2,000868,3.14,1,11
2,000869,29.82,1,11
2,000875,2.99,1,11
2,000876,18.16,1,11
2,000877,11.16,1,11
2,000878,10.75,1,11
2,000880,8.04,1,11
2,000881,7.74,1,11
2,000882,2.29,1,11
2,000883,4.15,1,11
2,000885,10.53,1,11
2,000886,3.62,1,11
2,000887,9.78,1,11
2,000888,6.24,1,11
2,000889,9.87,1,11
2,000890,6.46,1,11
2,000892,4.86,1,11
2,000893,7.36,1,11
2,000895,23.47,1,11
2,001896,3.83,1,11
2,000897,2.17,1,11
2,000898,3.33,1,11
2,000899,4.95,1,11
2,000900,4.62,1,11
2,000901,12.88,1,11
2,000902,11.22,1,11
2,000903,2.71,1,11
2,000905,7.44,1,11
2,000906,6.34,1,11
2,000908,4.64,1,11
2,000909,7.86,1,11
2,000910,12.07,1,11
2,000911,6.01,1,11
2,000912,5.57,1,11
2,000913,9.88,1,11
2,000915,23.92,1,11
2,000916,8.82,1,11
2,000917,6.69,1,11
2,000918,6.44,1,11
2,000919,7.76,1,11
2,000920,7.00,1,11
2,000921,11.91,1,11
2,000922,8.67,1,11
2,000923,15.53,1,11
2,000925,6.91,1,11
2,000926,6.66,1,11
2,000927,3.85,1,11
2,000928,5.66,1,11
2,000929,7.52,1,11
2,000930,7.16,1,11
2,000931,8.68,1,11
2,000932,4.32,1,11
2,000933,4.72,1,11
2,000935,14.83,1,11
2,000936,7.69,1,11
2,000937,3.68,1,11
2,000938,34.90,1,11
2,000939,1.05,1,11
2,000948,11.01,1,11
2,000949,3.52,1,11
2,000950,6.65,1,11
2,000951,15.49,1,11
2,000952,9.69,1,11
2,000953,4.04,1,11
2,000955,4.24,1,11
2,000957,7.27,1,11
