exch_group_no,pd_no,asset_acco_no
58880001,58880001,58880001
58880002,58880002,58880002
58880003,58880003,58880003
58880004,58880004,58880004
58880005,58880005,58880005
58880006,58880006,58880006
58880007,58880007,58880007
58880008,58880008,58880008
58880009,58880009,58880009
58880010,58880010,58880010
58880011,58880011,58880011
58880012,58880012,58880012
58880013,58880013,58880013
58880014,58880014,58880014
58880015,58880015,58880015
58880016,58880016,58880016
58880017,58880017,58880017
58880018,58880018,58880018
58880019,58880019,58880019
58880020,58880020,58880020
58880021,58880021,58880021
58880022,58880022,58880022
58880023,58880023,58880023
58880024,58880024,58880024
58880025,58880025,58880025
58880026,58880026,58880026
58880027,58880027,58880027
58880028,58880028,58880028
58880029,58880029,58880029
58880030,58880030,58880030
58880031,58880031,58880031
58880032,58880032,58880032
58880033,58880033,58880033
58880034,58880034,58880034
58880035,58880035,58880035
58880036,58880036,58880036
58880037,58880037,58880037
58880038,58880038,58880038
58880039,58880039,58880039
58880040,58880040,58880040
58880041,58880041,58880041
58880042,58880042,58880042
58880043,58880043,58880043
58880044,58880044,58880044
58880045,58880045,58880045
58880046,58880046,58880046
58880047,58880047,58880047
58880048,58880048,58880048
58880049,58880049,58880049
58880050,58880050,58880050
58880051,58880051,58880051
